No. matches: 1; time differenes: 4.90497 size differences: 8.61148 ratio: 0.569584
sample, ac_time, lg_time, ac_space, lg_space, num_states, num_patterns
1,56906,486001,30748880,3570683,29340,1590
2,95740,483776,30748880,3570683,29340,1590
3,97799,482813,30748880,3570683,29340,1590
4,97871,470966,30748880,3570683,29340,1590
5,95202,499301,30748880,3570683,29340,1590
6,95162,470332,30748880,3570683,29340,1590
7,98133,469875,30748880,3570683,29340,1590
8,95418,469958,30748880,3570683,29340,1590
9,95603,470490,30748880,3570683,29340,1590
10,94842,469892,30748880,3570683,29340,1590
11,98249,474442,30748880,3570683,29340,1590
12,109178,465164,30748880,3570683,29340,1590
13,98544,468911,30748880,3570683,29340,1590
14,95546,466324,30748880,3570683,29340,1590
15,98352,465487,30748880,3570683,29340,1590
16,95403,462996,30748880,3570683,29340,1590
17,96058,469383,30748880,3570683,29340,1590
18,102055,466587,30748880,3570683,29340,1590
19,95399,466938,30748880,3570683,29340,1590
20,94937,470380,30748880,3570683,29340,1590
21,95132,472647,30748880,3570683,29340,1590
22,95035,475225,30748880,3570683,29340,1590
23,97309,469548,30748880,3570683,29340,1590
24,97444,476701,30748880,3570683,29340,1590
25,109334,471790,30748880,3570683,29340,1590
26,97743,467579,30748880,3570683,29340,1590
27,96316,470310,30748880,3570683,29340,1590
28,96262,468414,30748880,3570683,29340,1590
29,94880,467263,30748880,3570683,29340,1590
30,95717,472721,30748880,3570683,29340,1590
31,95052,475096,30748880,3570683,29340,1590
32,94736,481546,30748880,3570683,29340,1590
33,99036,468911,30748880,3570683,29340,1590
34,99719,474461,30748880,3570683,29340,1590
35,97954,467912,30748880,3570683,29340,1590
36,95896,465978,30748880,3570683,29340,1590
37,95554,467461,30748880,3570683,29340,1590
38,95826,471558,30748880,3570683,29340,1590
39,95294,469452,30748880,3570683,29340,1590
40,97437,471025,30748880,3570683,29340,1590
41,98247,492135,30748880,3570683,29340,1590
42,97830,470199,30748880,3570683,29340,1590
43,98084,469165,30748880,3570683,29340,1590
44,98495,468239,30748880,3570683,29340,1590
45,98935,467709,30748880,3570683,29340,1590
46,97822,467107,30748880,3570683,29340,1590
47,95115,475803,30748880,3570683,29340,1590
48,98431,472900,30748880,3570683,29340,1590
49,95117,472824,30748880,3570683,29340,1590
50,95167,472163,30748880,3570683,29340,1590
51,94575,475602,30748880,3570683,29340,1590
52,95514,475179,30748880,3570683,29340,1590
53,95478,472721,30748880,3570683,29340,1590
54,96115,469963,30748880,3570683,29340,1590
55,96393,465963,30748880,3570683,29340,1590
56,95445,474423,30748880,3570683,29340,1590
57,95730,470926,30748880,3570683,29340,1590
58,95295,465922,30748880,3570683,29340,1590
59,95337,469829,30748880,3570683,29340,1590
60,95575,471956,30748880,3570683,29340,1590
61,95790,472579,30748880,3570683,29340,1590
62,95608,472438,30748880,3570683,29340,1590
63,96065,477167,30748880,3570683,29340,1590
64,94768,478169,30748880,3570683,29340,1590
65,96361,473462,30748880,3570683,29340,1590
66,95543,466745,30748880,3570683,29340,1590
67,95103,470780,30748880,3570683,29340,1590
68,94969,471463,30748880,3570683,29340,1590
69,94989,463844,30748880,3570683,29340,1590
70,95781,467346,30748880,3570683,29340,1590
71,95460,460497,30748880,3570683,29340,1590
72,107864,468265,30748880,3570683,29340,1590
73,95612,470434,30748880,3570683,29340,1590
74,95257,472836,30748880,3570683,29340,1590
75,94851,471034,30748880,3570683,29340,1590
76,95910,470751,30748880,3570683,29340,1590
77,95388,468702,30748880,3570683,29340,1590
78,96649,469848,30748880,3570683,29340,1590
79,95639,469842,30748880,3570683,29340,1590
80,95854,478695,30748880,3570683,29340,1590
81,95533,463483,30748880,3570683,29340,1590
82,94613,483631,30748880,3570683,29340,1590
83,96741,467093,30748880,3570683,29340,1590
84,95485,468294,30748880,3570683,29340,1590
85,95615,467914,30748880,3570683,29340,1590
86,95533,475554,30748880,3570683,29340,1590
87,95971,476777,30748880,3570683,29340,1590
88,95301,469043,30748880,3570683,29340,1590
89,95522,471264,30748880,3570683,29340,1590
90,96266,474884,30748880,3570683,29340,1590
91,95707,465760,30748880,3570683,29340,1590
92,94820,474658,30748880,3570683,29340,1590
93,95113,470452,30748880,3570683,29340,1590
94,96627,469252,30748880,3570683,29340,1590
95,95627,471607,30748880,3570683,29340,1590
96,96702,467945,30748880,3570683,29340,1590
97,94772,471764,30748880,3570683,29340,1590
98,95552,478630,30748880,3570683,29340,1590
99,96085,467389,30748880,3570683,29340,1590
100,96296,470286,30748880,3570683,29340,1590
